"특성별(1)",특성별(2),2021,2021,2021,2021
"특성별(1)",특성별(2),보도,자전거도로,차도,공원·광장
"전체",소계,43.7,21.9,18.3,16.1
"성별",남자,43.7,22.6,15.3,18.4
"성별",여자,43.5,20.4,25.0,11.0
"연령별",13~19세,56.4,18.2,9.4,16.0
"연령별",20~29세,41.8,26.5,20.9,10.8
"연령별",30~39세,38.6,20.7,19.1,21.6
"연령별",40~49세,37.4,9.4,28.1,25.0
"연령별",50~59세,45.5,18.2,0.0,36.4
"연령별",60~64세,100.0,0.0,0.0,0.0
"연령별",65세이상,0.0,100.0,0.0,0.0
"학력별",중등학교,72.4,4.6,0.0,23.0
"학력별",고등학교,49.2,21.6,19.9,9.2
"학력별",대학(4년제미만),43.2,22.7,21.7,12.4
"학력별",대학교(4년제이상),37.6,24.4,18.4,19.7
"학력별",대학원석사과정,53.9,13.0,0.0,33.1
"학력별",대학원박사과정,0.0,30.9,69.1,0.0
"가구주와의 관계별",본인,40.1,23.2,19.1,17.6
"가구주와의 관계별",배우자,41.2,8.6,24.5,25.7
"가구주와의 관계별",가구원,47.4,21.9,16.9,13.8
"혼인상태별",미혼,44.5,23.4,18.9,13.2
"혼인상태별",유배우,41.8,16.2,17.1,24.9
"혼인상태별",이혼/별거,40.1,36.1,11.9,11.9
"직업별",관리자,42.9,57.1,0.0,0.0
"직업별",전문가및관련종사자,36.0,12.2,21.5,30.3
"직업별",사무직,56.7,11.5,15.6,16.2
"직업별",서비스직,34.6,29.5,20.2,15.6
"직업별",판매종사자,43.0,13.1,10.1,33.8
"직업별",기능원및기능종사자,62.7,16.2,15.3,5.7
"직업별",장치ㆍ기계조작및조립종사자,44.1,24.3,16.7,15.0
"직업별",단순노무자,19.1,8.4,61.3,11.2
"직업별",학생,47.6,22.1,15.2,15.1
"직업별",주부,47.8,23.9,0.0,28.2
"직업별",무직,37.1,37.4,17.4,8.1
"종사상의 지위별",임금근로자(상용),42.4,20.0,17.7,20.0
"종사상의 지위별",임금근로자(임시),46.1,0.0,53.9,0.0
"종사상의 지위별",임금근로자(일용),26.3,73.7,0.0,0.0
"종사상의 지위별",고용원이있는자영업자,29.2,0.0,35.4,35.4
"종사상의 지위별",고용원이없는자영업자,44.2,27.9,13.9,14.0
"종사상의 지위별",무급가족종사자,0.0,0.0,100.0,0.0
