"특성별(1)",특성별(2),2021,2021,2021,2021,2021
"특성별(1)",특성별(2),매일,주 1회,주 2~3회,월 2~3회,년 2~3회
"전체",소계,2.5,9.2,8.9,33.4,45.9
"성별",남자,1.7,11.4,9.8,38.0,39.1
"성별",여자,4.4,4.1,6.9,23.0,61.7
"연령별",13~19세,2.8,11.0,8.8,35.8,41.5
"연령별",20~29세,0.9,10.3,9.6,38.9,40.3
"연령별",30~39세,7.1,12.0,7.1,14.2,59.6
"연령별",40~49세,0.0,0.0,3.1,40.6,56.3
"연령별",50~59세,0.0,0.0,27.3,27.3,45.5
"연령별",60~64세,0.0,0.0,0.0,0.0,100.0
"연령별",65세이상,100.0,0.0,0.0,0.0,0.0
"학력별",중등학교,13.6,14.1,0.0,35.2,37.1
"학력별",고등학교,0.0,3.5,5.2,47.9,43.4
"학력별",대학(4년제미만),2.3,16.3,13.4,16.2,51.9
"학력별",대학교(4년제이상),2.7,9.4,9.6,36.2,42.1
"학력별",대학원석사과정,0.0,0.0,10.2,0.0,89.8
"학력별",대학원박사과정,0.0,0.0,30.9,0.0,69.1
"가구주와의 관계별",본인,3.3,5.5,11.1,34.2,46.0
"가구주와의 관계별",배우자,0.0,8.6,0.0,23.2,68.2
"가구주와의 관계별",가구원,2.0,12.9,7.7,33.7,43.8
"혼인상태별",미혼,2.5,11.0,9.3,35.9,41.3
"혼인상태별",유배우,1.8,5.0,7.2,28.7,57.3
"혼인상태별",이혼/별거,9.8,0.0,15.8,11.9,62.5
"직업별",관리자,0.0,57.1,0.0,0.0,42.9
"직업별",전문가및관련종사자,0.0,13.4,0.0,36.2,50.4
"직업별",사무직,0.0,0.0,9.3,31.9,58.9
"직업별",서비스직,2.4,7.3,8.8,30.6,50.9
"직업별",판매종사자,13.1,0.0,0.0,33.8,53.1
"직업별",기능원및기능종사자,7.7,7.7,10.2,40.1,34.4
"직업별",장치ㆍ기계조작및조립종사자,4.9,0.0,11.3,26.1,57.7
"직업별",단순노무자,0.0,0.0,10.8,63.1,26.1
"직업별",학생,1.5,13.6,11.2,33.2,40.5
"직업별",주부,0.0,0.0,0.0,23.9,76.1
"직업별",무직,3.8,16.1,11.6,32.4,36.2
"종사상의 지위별",임금근로자(상용),3.8,6.1,7.0,33.5,49.7
"종사상의 지위별",임금근로자(임시),0.0,0.0,9.2,36.0,54.7
"종사상의 지위별",임금근로자(일용),0.0,0.0,0.0,100.0,0.0
"종사상의 지위별",고용원이있는자영업자,0.0,0.0,0.0,35.4,64.6
"종사상의 지위별",고용원이없는자영업자,0.0,12.4,14.6,14.2,58.7
"종사상의 지위별",무급가족종사자,0.0,0.0,0.0,100.0,0.0
