"특성별(1)",특성별(2),2021,2021
"특성별(1)",특성별(2),없다,있다
"전체",소계,92.2,7.8
"성별",남자,91.0,9.0
"성별",여자,93.3,6.7
"연령별",13~19세,77.2,22.8
"연령별",20~29세,87.1,12.9
"연령별",30~39세,88.5,11.5
"연령별",40~49세,91.0,9.0
"연령별",50~59세,95.0,5.0
"연령별",60~64세,98.9,1.1
"연령별",65세이상,99.3,0.7
"학력별",안받았음,100.0,0.0
"학력별",초등학교,99.7,0.3
"학력별",중등학교,92.9,7.1
"학력별",고등학교,92.5,7.5
"학력별",대학(4년제미만),90.4,9.6
"학력별",대학교(4년제이상),89.0,11.0
"학력별",대학원석사과정,93.7,6.3
"학력별",대학원박사과정,95.6,4.4
"가구주와의 관계별",본인,92.8,7.2
"가구주와의 관계별",배우자,96.2,3.8
"가구주와의 관계별",가구원,84.8,15.2
"혼인상태별",미혼,84.4,15.6
"혼인상태별",유배우,94.6,5.4
"혼인상태별",사별,99.0,1.0
"혼인상태별",이혼/별거,93.3,6.7
"직업별",관리자,97.8,2.2
"직업별",전문가및관련종사자,92.2,7.8
"직업별",사무직,84.1,15.9
"직업별",서비스직,93.6,6.4
"직업별",판매종사자,90.5,9.5
"직업별",농·림·수산자,96.8,3.2
"직업별",기능원및기능종사자,94.2,5.8
"직업별",장치ㆍ기계조작및조립종사자,93.3,6.7
"직업별",단순노무자,93.9,6.1
"직업별",군인,37.0,63.0
"직업별",학생,78.7,21.3
"직업별",주부,97.4,2.6
"직업별",무직,95.4,4.6
"종사상의 지위별",임금근로자(상용),90.1,9.9
"종사상의 지위별",임금근로자(임시),90.6,9.4
"종사상의 지위별",임금근로자(일용),96.8,3.2
"종사상의 지위별",고용원이있는자영업자,96.0,4.0
"종사상의 지위별",고용원이없는자영업자,96.3,3.7
"종사상의 지위별",무급가족종사자,92.0,8.0
